Date,tbl_liquidity_index,tbl_liquidity_30d_change,S&P 500,Bitcoin
2024-02-21,52.658884,-0.32072,4981.8,51839.18
2024-02-20,52.9232736,-0.28794,4975.51,52284.87
2024-02-19,53.0780725,-0.13314,5005.57,51779.14
2024-02-18,53.0924083,-0.03656,5005.57,52122.55
2024-02-17,53.0924083,0.278369,5005.57,51663
2024-02-16,53.1303764,-0.09282,5005.57,52160.2
2024-02-15,52.7738043,0.561173,5029.73,51938.56
2024-02-14,52.5456208,-0.84602,5000.62,51826.7
2024-02-13,52.2524462,-1.15553,4953.17,49742.44
2024-02-12,53.0374685,-0.37051,5021.84,49958.22
2024-02-11,53.4966171,0.153389,5026.61,48293.92
